Species ,Biorep,Subtype,Ci ,A,Pairing,Pressure,Temp,Ci_p,Cm,Qobs,Plant
Acara,1,NADP-ME,3.280737055,1.289526736,a,100.6,30.40935707,3.280737055,3.280737055,1800,1
Acara,1,NADP-ME,6.742545373,3.275281564,a,100.6,30.43784904,6.742545373,6.742545373,1800,1
Acara,1,NADP-ME,11.57911823,5.844885066,a,100.6,30.46740723,11.57911823,11.57911823,1800,1
Acara,1,NADP-ME,16.04053066,8.380327255,a,100.6,30.47960091,16.04053066,16.04053066,1800,1
Acara,1,NADP-ME,20.64420925,10.69465401,a,100.6,30.48854446,20.64420925,20.64420925,1800,1
Acara,1,NADP-ME,24.58252365,12.89616944,a,100.6,30.5327816,24.58252365,24.58252365,1800,1
Acara,1,NADP-ME,33.38212894,17.08683098,a,100.6,30.56488609,33.38212894,33.38212894,1800,1
Acara,1,NADP-ME,41.66654087,20.69487638,a,100.6,30.6111412,41.66654087,41.66654087,1800,1
Acara,1,NADP-ME,49.97670574,23.47073485,a,100.6,30.67834282,49.97670574,49.97670574,1800,1
Acara,1,NADP-ME,66.8325543,29.07914595,a,100.6,30.72311592,66.8325543,66.8325543,1800,1
Acara,1,NADP-ME,87.84839495,34.42215566,a,100.6,30.83279991,87.84839495,87.84839495,1800,1
Acara,1,NADP-ME,136.1271033,41.36257768,a,100.6,30.95717049,136.1271033,136.1271033,1800,1
Acara,1,NADP-ME,196.1950618,44.17219432,a,100.6,31.05979156,196.1950618,196.1950618,1800,1
Acara,1,NADP-ME,233.6145429,47.93855502,a,100.6,31.00693893,233.6145429,233.6145429,1800,1
Acara,1,NADP-ME,417.5922437,49.82424998,a,100.6,30.99768639,417.5922437,417.5922437,1800,1
Acara,1,NADP-ME,784.7477624,51.71605181,a,100.6,30.8828907,784.7477624,784.7477624,1800,1
Acara,1,NADP-ME,1383.033196,53.37624244,a,100.6,30.70788574,1383.033196,1383.033196,1800,1
Acara,2,NADP-ME,10.6333532,1.711035153,a,99.5,30.87834549,10.6333532,10.6333532,1800,2
Acara,2,NADP-ME,15.41958522,4.47240779,a,99.5,30.86917877,15.41958522,15.41958522,1800,2
Acara,2,NADP-ME,20.15392505,7.16550487,a,99.5,30.63631439,20.15392505,20.15392505,1800,2
Acara,2,NADP-ME,24.65567302,9.781954992,a,99.5,30.79574013,24.65567302,24.65567302,1800,2
Acara,2,NADP-ME,28.99785675,12.19814046,a,99.5,30.656847,28.99785675,28.99785675,1800,2
Acara,2,NADP-ME,37.87442849,17.0032396,a,99.5,30.65443611,37.87442849,37.87442849,1800,2
Acara,2,NADP-ME,48.59137781,21.41610287,a,99.5,30.82139015,48.59137781,48.59137781,1800,2
Acara,2,NADP-ME,56.18225459,24.99327433,a,99.5,30.91975975,56.18225459,56.18225459,1800,2
Acara,2,NADP-ME,78.09696326,31.71010705,a,99.5,30.873703,78.09696326,78.09696326,1800,2
Acara,2,NADP-ME,111.8443765,37.68465223,a,99.5,30.77482033,111.8443765,111.8443765,1800,2
Acara,2,NADP-ME,186.105627,43.72311741,a,99.5,30.44773293,186.105627,186.105627,1800,2
Acara,2,NADP-ME,274.203635,45.73171069,a,99.5,30.39789391,274.203635,274.203635,1800,2
Acara,2,NADP-ME,294.4288849,44.65564219,a,99.5,30.91975975,294.4288849,294.4288849,1800,2
Acara,2,NADP-ME,541.6048901,47.07552815,a,99.5,30.873703,541.6048901,541.6048901,1800,2
Acara,2,NADP-ME,924.7505108,47.11535171,a,99.5,30.77482033,924.7505108,924.7505108,1800,2
Acara,2,NADP-ME,1518.5738,47.5475736,a,99.5,30.44773293,1518.5738,1518.5738,1800,2
Acara,3,NADP-ME,4.781705493,0.60475516,a,99.35,31.11733437,4.781705493,4.781705493,1800,3
Acara,3,NADP-ME,8.23242699,2.248975348,a,99.35,31.13726616,8.23242699,8.23242699,1800,3
Acara,3,NADP-ME,13.23420015,4.28390175,a,99.35,31.13515854,13.23420015,13.23420015,1800,3
Acara,3,NADP-ME,17.99308767,6.304039212,a,99.35,31.12473679,17.99308767,17.99308767,1800,3
Acara,3,NADP-ME,22.64512103,8.18938588,a,99.35,31.11278725,22.64512103,22.64512103,1800,3
Acara,3,NADP-ME,25.93843709,10.04197074,a,99.35,31.27444267,25.93843709,25.93843709,1800,3
Acara,3,NADP-ME,35.87799493,13.4598878,a,99.35,31.1282692,35.87799493,35.87799493,1800,3
Acara,3,NADP-ME,42.88320092,16.45490331,a,99.35,31.34387779,42.88320092,42.88320092,1800,3
Acara,3,NADP-ME,53.32836827,18.95726407,a,99.35,31.15696526,53.32836827,53.32836827,1800,3
Acara,3,NADP-ME,70.36885757,23.99101455,a,99.35,31.17733574,70.36885757,70.36885757,1800,3
Acara,3,NADP-ME,93.06112655,29.25340584,a,99.35,31.21280479,93.06112655,93.06112655,1800,3
Acara,3,NADP-ME,145.3917891,36.20540677,a,99.35,31.25086212,145.3917891,145.3917891,1800,3
Acara,3,NADP-ME,209.6306314,39.77220799,a,99.35,31.27750397,209.6306314,209.6306314,1800,3
Acara,3,NADP-ME,258.3718088,42.73545056,a,99.35,31.2633419,258.3718088,258.3718088,1800,3
