,species,genotype,clone,slideID,picnum,slide,lookupID,IAS,Lthick1,Lthick2,avgLthick,Mthickad1,Mthickad2,Avg.Mthickad,Mthickab1,Mthickab2,Avg.Mthickab,Avg.cell.ad,Avg.cell.ab,Avg.dist.maj,Avg.dist.minor,Avg.area.maj,Avg.area.minor,# planes
0,YF,4,1,1,1,1,1.1,0.381749895,462.775,395.429,429.102,130.104,105.045,117.5745,87.029,96.034,91.5315,320.4788,406.229,353.884,580.4193,12142.64625,3652.7339999999995,1
1,YF,4,1,1,2,1,1.2,0.38175645,520.197,468.199,494.198,116.333,105.458,110.8955,87.803,92.312,90.0575,352.8892,450.0902,429.9983333,574.1958999999999,15617.454,3640.89392,1
2,YF,4,1,1,3,1,1.3,0.306293618,655.609,595.034,625.3215,145.795,150.53,148.1625,93.172,107.157,100.1645,437.4844,352.3996,731.131,767.6265,32796.9675,5028.519,3
3,YF,4,2,2,1,2,2.1,0.422111333,494.426,484.998,489.712,154.448,155.776,155.112,191.014,188.231,189.6225,566.7776,562.2744,334.676,428.84,14439.8835,1413.895,3
4,YF,4,2,2,2,2,2.2,0.357315377,549.564,464.18,506.872,194.773,198.306,196.5395,194.595,206.287,200.441,731.9284,705.7918,336.273,425.6375,20832.811,1724.936,3
5,YF,27,1,3,1,1,3.1,0.243739919,390.462,310.423,350.4425,144.152,104.116,124.134,130.141,127.394,128.7675,518.8348,455.8802,405.7835,401.134,14124.173,1461.744,3
6,YF,27,1,3,2,1,3.2,0.179317024,501.543,473.141,487.342,177.022,156.139,166.5805,180.902,187.384,184.143,738.8116,790.9916,178.7015,461.626,16504.6295,2219.811,2
7,YF,27,1,3,3,1,3.3,0.241774205,372.698,417.177,394.9375,120.848,156.842,138.845,160.629,149.663,155.146,525.727,617.9292,234.4355,704.477,18395.139,1658.8705,3
8,YF,27,2,4,1,2,4.1,0.222416527,311.085,328.035,319.56,125.222,125.222,125.222,132.104,163.839,147.9715,713.4108,524.7626,297.8905,327.241,16586.2955,511.164,2
9,YG,1,A,5,1,1,5.1,0.172377155,961.143,962.39,961.7665,275.804,275.086,275.445,226.25,239.681,232.9655,1054.3778,916.1362,378.589,509.9424,17271.407,6640.923,4
10,YG,1,A,5,2,1,5.2,0.197654326,698.007,768.35,733.1785,204.134,200.382,202.258,171.333,185.613,178.473,959.877,801.1882,465.483,468.831,14557.22067,3229.5322,3
11,YG,1,B,6,1,2,6.1,0.162663358,581.37,599.178,590.274,266.905,260.619,263.762,214.364,194.515,204.4395,974.103,895.502,782.924,684.8825,10326.992,3742.28,3
12,YG,1,B,6,2,2,6.2,0.250240637,618.498,607.316,612.907,264.653,236.224,250.4385,298.243,222.899,260.571,910.2454,973.4976,582.0515,458.9745,11845.3575,4043.457,3
13,YA,23,1,7,1,1,7.1,0.105979231,1126.413,1121.219,1123.816,560.31,516.935,538.6225,450.537,442.678,446.6075,2189.6432,1821.9672,456.4815,445.39623334,16989.347,3233.25115,1
14,YA,23,1,7,2,1,7.2,0.156913555,1505.178,1641.339,1573.2585,281.474,348.932,315.203,275.89,310.507,293.1985,1851.4698,999.7998,579.677,572.7585,27965.696,8031.30475,3
